2022-02-07;17:35:14;1119,2;;1828;SHB;SHB;STND;OB,ON,NLIQ;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;3;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;652;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1628;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;457;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;21;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1544;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;874;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2106;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;74;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2106;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1929;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1153;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;576;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;73;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;5;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2106;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;299;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;90;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1057;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1376;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;7;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;442;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2900;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;26;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;382;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1639;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1043;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1315;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2118;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;586;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;514;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;466;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;433;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;434;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;25;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;3061;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2118;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;249;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;345;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1961;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;60;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;6;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;153;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;47;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;747;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;140;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;113;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;999;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;5;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;82;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;91;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;180;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;885;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;112;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;121;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;881;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;748;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;63;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;400;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;2014;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;938;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;957;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;325;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;41;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;5;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;314;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;401;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;125;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;1738;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;476;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;212;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;10;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;3;-;-;CROS;LB,CA;1 119,20;1 119,20;
2022-02-07;17:29:39;1119,2;;10;-;-;CROS;LB,CA;1 119,20;1 119,20;
